#    L    TT             EE             BB             TE          
   279   0.477250E+04   0.562913E+01   0.256095E-01   0.103271E+03
   280   0.474241E+04   0.577310E+01   0.257627E-01   0.104312E+03
   281   0.471216E+04   0.591907E+01   0.259153E-01   0.105315E+03
   282   0.468146E+04   0.606673E+01   0.260674E-01   0.106288E+03
   283   0.465061E+04   0.621632E+01   0.262189E-01   0.107231E+03
   284   0.461952E+04   0.636775E+01   0.263698E-01   0.108145E+03
   285   0.458822E+04   0.652102E+01   0.265201E-01   0.109028E+03
   286   0.455661E+04   0.667600E+01   0.266698E-01   0.109874E+03
   287   0.452477E+04   0.683267E+01   0.268189E-01   0.110697E+03
   288   0.449278E+04   0.699104E+01   0.269673E-01   0.111482E+03
   289   0.446056E+04   0.715103E+01   0.271152E-01   0.112238E+03
   290   0.442819E+04   0.731250E+01   0.272623E-01   0.112964E+03
   291   0.439566E+04   0.747618E+01   0.274089E-01   0.113645E+03
   292   0.436269E+04   0.764097E+01   0.275548E-01   0.114303E+03
   293   0.432986E+04   0.780649E+01   0.277000E-01   0.114916E+03
   294   0.429673E+04   0.797423E+01   0.278446E-01   0.115507E+03
   295   0.426367E+04   0.814270E+01   0.279886E-01   0.116052E+03
   296   0.423032E+04   0.831340E+01   0.281318E-01   0.116568E+03
   297   0.419688E+04   0.848408E+01   0.282744E-01   0.117054E+03
   298   0.416322E+04   0.865698E+01   0.284163E-01   0.117494E+03
   299   0.412956E+04   0.883135E+01   0.285576E-01   0.117897E+03
   300   0.409574E+04   0.900572E+01   0.286981E-01   0.118263E+03
   301   0.406185E+04   0.918157E+01   0.288380E-01   0.118599E+03
   302   0.402796E+04   0.935815E+01   0.289772E-01   0.118904E+03
   303   0.399399E+04   0.953620E+01   0.291157E-01   0.119165E+03
   304   0.395994E+04   0.971573E+01   0.292535E-01   0.119381E+03
   305   0.392589E+04   0.989525E+01   0.293906E-01   0.119567E+03
   306   0.389177E+04   0.100755E+02   0.295270E-01   0.119715E+03
   307   0.385765E+04   0.102565E+02   0.296627E-01   0.119818E+03
   308   0.382352E+04   0.104397E+02   0.297978E-01   0.119899E+03
   309   0.378947E+04   0.106221E+02   0.299321E-01   0.119927E+03
   310   0.375535E+04   0.108046E+02   0.300657E-01   0.119926E+03
   311   0.372130E+04   0.109892E+02   0.301986E-01   0.119879E+03
   312   0.368732E+04   0.111731E+02   0.303308E-01   0.119802E+03
   313   0.365335E+04   0.113577E+02   0.304624E-01   0.119681E+03
   314   0.361945E+04   0.115431E+02   0.305932E-01   0.119530E+03
   315   0.358562E+04   0.117277E+02   0.307234E-01   0.119333E+03
   316   0.355187E+04   0.119130E+02   0.308528E-01   0.119100E+03
   317   0.351820E+04   0.120976E+02   0.309816E-01   0.118829E+03
   318   0.348460E+04   0.122836E+02   0.311097E-01   0.118520E+03
   319   0.345115E+04   0.124689E+02   0.312371E-01   0.118174E+03
   320   0.341785E+04   0.126542E+02   0.313638E-01   0.117798E+03
   321   0.338463E+04   0.128402E+02   0.314899E-01   0.117377E+03
   322   0.335156E+04   0.130247E+02   0.316153E-01   0.116919E+03
   323   0.331864E+04   0.132091E+02   0.317401E-01   0.116423E+03
   324   0.328588E+04   0.133943E+02   0.318642E-01   0.115883E+03
   325   0.325333E+04   0.135766E+02   0.319876E-01   0.115320E+03
   326   0.322087E+04   0.137603E+02   0.321105E-01   0.114705E+03
   327   0.318863E+04   0.139432E+02   0.322327E-01   0.114060E+03
   328   0.315662E+04   0.141246E+02   0.323543E-01   0.113384E+03
   329   0.312476E+04   0.143061E+02   0.324753E-01   0.112664E+03
   330   0.309313E+04   0.144860E+02   0.325957E-01   0.111907E+03
   331   0.306179E+04   0.146652E+02   0.327156E-01   0.111120E+03
   332   0.303061E+04   0.148443E+02   0.328349E-01   0.110302E+03
   333   0.299966E+04   0.150220E+02   0.329536E-01   0.109448E+03
   334   0.296901E+04   0.151989E+02   0.330718E-01   0.108556E+03
   335   0.293851E+04   0.153736E+02   0.331895E-01   0.107626E+03
   336   0.290832E+04   0.155475E+02   0.333067E-01   0.106667E+03
   337   0.287842E+04   0.157206E+02   0.334233E-01   0.105663E+03
   338   0.284876E+04   0.158915E+02   0.335395E-01   0.104636E+03
   339   0.281947E+04   0.160624E+02   0.336553E-01   0.103572E+03
   340   0.279041E+04   0.162311E+02   0.337706E-01   0.102485E+03
   341   0.276158E+04   0.163975E+02   0.338855E-01   0.101354E+03
   342   0.273312E+04   0.165640E+02   0.339999E-01   0.100192E+03
   343   0.270497E+04   0.167274E+02   0.341140E-01   0.990007E+02
   344   0.267719E+04   0.168894E+02   0.342277E-01   0.977793E+02
   345   0.264965E+04   0.170491E+02   0.343411E-01   0.965280E+02
   346   0.262248E+04   0.172080E+02   0.344541E-01   0.952541E+02
   347   0.259561E+04   0.173640E+02   0.345668E-01   0.939429E+02
   348   0.256913E+04   0.175178E+02   0.346793E-01   0.926016E+02
   349   0.254294E+04   0.176701E+02   0.347914E-01   0.912304E+02
   350   0.251714E+04   0.178193E+02   0.349033E-01   0.898366E+02
   351   0.249186E+04   0.179671E+02   0.350150E-01   0.884128E+02
   352   0.246674E+04   0.181127E+02   0.351265E-01   0.869591E+02
   353   0.244206E+04   0.182553E+02   0.352378E-01   0.854902E+02
   354   0.241770E+04   0.183957E+02   0.353489E-01   0.839840E+02
   355   0.239378E+04   0.185338E+02   0.354599E-01   0.824553E+02
   356   0.237025E+04   0.186697E+02   0.355708E-01   0.809116E+02
   357   0.234709E+04   0.188027E+02   0.356815E-01   0.793379E+02
   358   0.232438E+04   0.189319E+02   0.357922E-01   0.777492E+02
   359   0.230198E+04   0.190589E+02   0.359028E-01   0.761306E+02
   360   0.228003E+04   0.191837E+02   0.360134E-01   0.744933E+02
   361   0.225846E+04   0.193056E+02   0.361240E-01   0.728329E+02
   362   0.223734E+04   0.194244E+02   0.362346E-01   0.711522E+02
