#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.122430E+00   0.238098E+06   0.229536E+06   0.118852E+02   0.118844E+02   0.233476E+04   0.235684E+06   0.236744E+06   0.235684E+06  -0.616119E-01   0.235497E+06   0.235211E+06   0.144490E+01
   0.127787E+00   0.228227E+06   0.221003E+06   0.104651E+02   0.104644E+02   0.207327E+04   0.226066E+06   0.227084E+06   0.226066E+06  -0.590977E-01   0.225879E+06   0.225657E+06   0.107592E+01
   0.133144E+00   0.217998E+06   0.211481E+06   0.921057E+01   0.920991E+01   0.183937E+04   0.215994E+06   0.216967E+06   0.215994E+06  -0.564646E-01   0.215813E+06   0.215616E+06   0.918106E+00
   0.138501E+00   0.207253E+06   0.200844E+06   0.809067E+01   0.809010E+01   0.162770E+04   0.205314E+06   0.206240E+06   0.205314E+06  -0.536727E-01   0.205146E+06   0.204938E+06   0.927591E+00
   0.143859E+00   0.196200E+06   0.189474E+06   0.709503E+01   0.709453E+01   0.143713E+04   0.194260E+06   0.195136E+06   0.194260E+06  -0.507830E-01   0.194108E+06   0.193868E+06   0.103295E+01
   0.149216E+00   0.185256E+06   0.178038E+06   0.622162E+01   0.622118E+01   0.126792E+04   0.183287E+06   0.184114E+06   0.183287E+06  -0.479145E-01   0.183152E+06   0.182872E+06   0.115857E+01
   0.154573E+00   0.174930E+06   0.167292E+06   0.547009E+01   0.546971E+01   0.112098E+04   0.172942E+06   0.173722E+06   0.172942E+06  -0.452099E-01   0.172822E+06   0.172511E+06   0.124375E+01
   0.159930E+00   0.165720E+06   0.157913E+06   0.483777E+01   0.483742E+01   0.997043E+03   0.163746E+06   0.164485E+06   0.163746E+06  -0.428059E-01   0.163637E+06   0.163312E+06   0.125381E+01
   0.165287E+00   0.157932E+06   0.150292E+06   0.431547E+01   0.431516E+01   0.893823E+03   0.156019E+06   0.156724E+06   0.156019E+06  -0.407861E-01   0.155917E+06   0.155601E+06   0.118262E+01
   0.170645E+00   0.151548E+06   0.144386E+06   0.388588E+01   0.388560E+01   0.807701E+03   0.149738E+06   0.150415E+06   0.149738E+06  -0.391442E-01   0.149638E+06   0.149349E+06   0.104771E+01
   0.176002E+00   0.146261E+06   0.139785E+06   0.352737E+01   0.352712E+01   0.736067E+03   0.144583E+06   0.145236E+06   0.144583E+06  -0.377965E-01   0.144482E+06   0.144231E+06   0.880563E+00
   0.181359E+00   0.141672E+06   0.135946E+06   0.322005E+01   0.321982E+01   0.674666E+03   0.140133E+06   0.140767E+06   0.140133E+06  -0.366332E-01   0.140030E+06   0.139820E+06   0.715479E+00
   0.186716E+00   0.137408E+06   0.132353E+06   0.294838E+01   0.294817E+01   0.620022E+03   0.135994E+06   0.136609E+06   0.135994E+06  -0.355511E-01   0.135889E+06   0.135714E+06   0.580319E+00
   0.192074E+00   0.133147E+06   0.128580E+06   0.270096E+01   0.270077E+01   0.569771E+03   0.131828E+06   0.132424E+06   0.131828E+06  -0.344621E-01   0.131724E+06   0.131572E+06   0.490918E+00
   0.197431E+00   0.128662E+06   0.124360E+06   0.247063E+01   0.247045E+01   0.522760E+03   0.127405E+06   0.127982E+06   0.127405E+06  -0.333059E-01   0.127304E+06   0.127161E+06   0.449594E+00
   0.202788E+00   0.123904E+06   0.119657E+06   0.225486E+01   0.225470E+01   0.478570E+03   0.122677E+06   0.123232E+06   0.122677E+06  -0.320700E-01   0.122581E+06   0.122435E+06   0.447203E+00
   0.208145E+00   0.118997E+06   0.114661E+06   0.205472E+01   0.205457E+01   0.437373E+03   0.117778E+06   0.118311E+06   0.117778E+06  -0.307892E-01   0.117689E+06   0.117531E+06   0.467647E+00
   0.213503E+00   0.114147E+06   0.109666E+06   0.187236E+01   0.187223E+01   0.399630E+03   0.112927E+06   0.113439E+06   0.112927E+06  -0.295212E-01   0.112845E+06   0.112674E+06   0.493225E+00
   0.218860E+00   0.109555E+06   0.104957E+06   0.170931E+01   0.170919E+01   0.365689E+03   0.108337E+06   0.108828E+06   0.108337E+06  -0.283212E-01   0.108261E+06   0.108080E+06   0.509253E+00
   0.224217E+00   0.105373E+06   0.100750E+06   0.156591E+01   0.156580E+01   0.335757E+03   0.104170E+06   0.104642E+06   0.104170E+06  -0.272319E-01   0.104098E+06   0.103914E+06   0.506941E+00
   0.229574E+00   0.101690E+06   0.971590E+05   0.144130E+01   0.144120E+01   0.309759E+03   0.100518E+06   0.100973E+06   0.100518E+06  -0.262771E-01   0.100449E+06   0.100269E+06   0.484278E+00
   0.234931E+00   0.985038E+05   0.941766E+05   0.133335E+01   0.133325E+01   0.287188E+03   0.973783E+05   0.978194E+05   0.973783E+05  -0.254564E-01   0.973106E+05   0.971415E+05   0.445122E+00
   0.240289E+00   0.957323E+05   0.916830E+05   0.123906E+01   0.123897E+01   0.267343E+03   0.946630E+05   0.950918E+05   0.946630E+05  -0.247465E-01   0.945956E+05   0.944414E+05   0.397040E+00
   0.245646E+00   0.932421E+05   0.894943E+05   0.115520E+01   0.115511E+01   0.249638E+03   0.922314E+05   0.926493E+05   0.922314E+05  -0.241109E-01   0.921640E+05   0.920255E+05   0.348668E+00
   0.251003E+00   0.908869E+05   0.874147E+05   0.107884E+01   0.107877E+01   0.233561E+03   0.899302E+05   0.903377E+05   0.899302E+05  -0.235093E-01   0.898628E+05   0.897381E+05   0.307349E+00
   0.256360E+00   0.885389E+05   0.852797E+05   0.100775E+01   0.100768E+01   0.218586E+03   0.876264E+05   0.880235E+05   0.876264E+05  -0.229070E-01   0.875598E+05   0.874447E+05   0.277584E+00
   0.261718E+00   0.861210E+05   0.829953E+05   0.940595E+00   0.940528E+00   0.204310E+03   0.852403E+05   0.856266E+05   0.852403E+05  -0.222833E-01   0.851753E+05   0.850650E+05   0.260470E+00
   0.267075E+00   0.836235E+05   0.805564E+05   0.876981E+00   0.876919E+00   0.190712E+03   0.827632E+05   0.831384E+05   0.827632E+05  -0.216357E-01   0.827005E+05   0.825908E+05   0.254066E+00
   0.272432E+00   0.810903E+05   0.780280E+05   0.817138E+00   0.817080E+00   0.177965E+03   0.802422E+05   0.806060E+05   0.802422E+05  -0.209767E-01   0.801823E+05   0.800702E+05   0.254440E+00
