#    L    TT             EE             TE             PP             TP          
   103   0.249273E+04   0.108684E+01  -0.277531E+02   0.449207E+07   0.620135E+04
   104   0.251962E+04   0.109627E+01  -0.282747E+02   0.446467E+07   0.613345E+04
   105   0.254661E+04   0.110522E+01  -0.287895E+02   0.443742E+07   0.606672E+04
   106   0.257378E+04   0.111378E+01  -0.292966E+02   0.441031E+07   0.600110E+04
   107   0.260083E+04   0.112179E+01  -0.297948E+02   0.438337E+07   0.593654E+04
   108   0.262821E+04   0.112933E+01  -0.302849E+02   0.435658E+07   0.587297E+04
   109   0.265570E+04   0.113633E+01  -0.307653E+02   0.432996E+07   0.581032E+04
   110   0.268322E+04   0.114280E+01  -0.312348E+02   0.430350E+07   0.574855E+04
   111   0.271084E+04   0.114881E+01  -0.316949E+02   0.427722E+07   0.568759E+04
   112   0.273857E+04   0.115430E+01  -0.321448E+02   0.425110E+07   0.562744E+04
   113   0.276648E+04   0.115928E+01  -0.325833E+02   0.422515E+07   0.556809E+04
   114   0.279443E+04   0.116368E+01  -0.330097E+02   0.419937E+07   0.550953E+04
   115   0.282256E+04   0.116766E+01  -0.334240E+02   0.417377E+07   0.545178E+04
   116   0.285065E+04   0.117101E+01  -0.338258E+02   0.414833E+07   0.539481E+04
   117   0.287900E+04   0.117381E+01  -0.342142E+02   0.412307E+07   0.533863E+04
   118   0.290745E+04   0.117621E+01  -0.345902E+02   0.409798E+07   0.528325E+04
   119   0.293588E+04   0.117809E+01  -0.349516E+02   0.407306E+07   0.522864E+04
   120   0.296441E+04   0.117929E+01  -0.352986E+02   0.404831E+07   0.517482E+04
   121   0.299290E+04   0.118014E+01  -0.356312E+02   0.402374E+07   0.512178E+04
   122   0.302143E+04   0.118033E+01  -0.359489E+02   0.399934E+07   0.506951E+04
   123   0.305001E+04   0.117995E+01  -0.362516E+02   0.397511E+07   0.501801E+04
   124   0.307862E+04   0.117910E+01  -0.365365E+02   0.395106E+07   0.496729E+04
   125   0.310719E+04   0.117769E+01  -0.368060E+02   0.392718E+07   0.491733E+04
   126   0.313581E+04   0.117582E+01  -0.370595E+02   0.390347E+07   0.486814E+04
   127   0.316439E+04   0.117334E+01  -0.372962E+02   0.387994E+07   0.481971E+04
   128   0.319294E+04   0.117042E+01  -0.375156E+02   0.385659E+07   0.477203E+04
   129   0.322153E+04   0.116692E+01  -0.377170E+02   0.383340E+07   0.472512E+04
   130   0.325009E+04   0.116284E+01  -0.378997E+02   0.381040E+07   0.467895E+04
   131   0.327862E+04   0.115834E+01  -0.380654E+02   0.378757E+07   0.463353E+04
   132   0.330719E+04   0.115329E+01  -0.382113E+02   0.376492E+07   0.458885E+04
   133   0.333566E+04   0.114777E+01  -0.383399E+02   0.374244E+07   0.454488E+04
   134   0.336411E+04   0.114180E+01  -0.384468E+02   0.372013E+07   0.450160E+04
   135   0.339252E+04   0.113531E+01  -0.385353E+02   0.369799E+07   0.445899E+04
   136   0.342077E+04   0.112831E+01  -0.386019E+02   0.367603E+07   0.441705E+04
   137   0.344899E+04   0.112090E+01  -0.386491E+02   0.365423E+07   0.437574E+04
   138   0.347712E+04   0.111302E+01  -0.386754E+02   0.363260E+07   0.433504E+04
   139   0.350501E+04   0.110481E+01  -0.386806E+02   0.361114E+07   0.429495E+04
   140   0.353295E+04   0.109608E+01  -0.386654E+02   0.358985E+07   0.425544E+04
   141   0.356066E+04   0.108690E+01  -0.386278E+02   0.356872E+07   0.421649E+04
   142   0.358835E+04   0.107737E+01  -0.385689E+02   0.354776E+07   0.417809E+04
   143   0.361595E+04   0.106750E+01  -0.384889E+02   0.352696E+07   0.414020E+04
