#    L    TT             EE             TE             PP             TP          
   299   0.413729E+04   0.880899E+01   0.118795E+03   0.166575E+07   0.108177E+04
   300   0.410328E+04   0.898450E+01   0.119173E+03   0.165915E+07   0.107212E+04
   301   0.406919E+04   0.916153E+01   0.119521E+03   0.165258E+07   0.106253E+04
   302   0.403509E+04   0.933932E+01   0.119839E+03   0.164605E+07   0.105300E+04
   303   0.400092E+04   0.951863E+01   0.120111E+03   0.163956E+07   0.104353E+04
   304   0.396666E+04   0.969944E+01   0.120338E+03   0.163311E+07   0.103412E+04
   305   0.393240E+04   0.988028E+01   0.120535E+03   0.162670E+07   0.102478E+04
   306   0.389806E+04   0.100619E+02   0.120695E+03   0.162032E+07   0.101549E+04
   307   0.386371E+04   0.102442E+02   0.120809E+03   0.161398E+07   0.100626E+04
   308   0.382936E+04   0.104289E+02   0.120900E+03   0.160767E+07   0.997094E+03
   309   0.379508E+04   0.106128E+02   0.120938E+03   0.160141E+07   0.987988E+03
   310   0.376072E+04   0.107967E+02   0.120946E+03   0.159517E+07   0.978943E+03
   311   0.372643E+04   0.109828E+02   0.120909E+03   0.158898E+07   0.969960E+03
   312   0.369222E+04   0.111683E+02   0.120842E+03   0.158281E+07   0.961039E+03
   313   0.365800E+04   0.113545E+02   0.120729E+03   0.157669E+07   0.952179E+03
   314   0.362385E+04   0.115414E+02   0.120586E+03   0.157060E+07   0.943381E+03
   315   0.358977E+04   0.117277E+02   0.120398E+03   0.156454E+07   0.934645E+03
   316   0.355577E+04   0.119147E+02   0.120172E+03   0.155852E+07   0.925972E+03
   317   0.352184E+04   0.121010E+02   0.119908E+03   0.155253E+07   0.917360E+03
   318   0.348798E+04   0.122887E+02   0.119606E+03   0.154657E+07   0.908812E+03
   319   0.345427E+04   0.124758E+02   0.119267E+03   0.154065E+07   0.900326E+03
   320   0.342071E+04   0.126628E+02   0.118897E+03   0.153476E+07   0.891904E+03
   321   0.338722E+04   0.128506E+02   0.118482E+03   0.152891E+07   0.883545E+03
