#    L    TT             EE             BB             TE          
   374   0.200834E+04   0.208157E+02   0.377854E-01   0.497320E+02
   375   0.199277E+04   0.208929E+02   0.378979E-01   0.478465E+02
   376   0.197773E+04   0.209671E+02   0.380107E-01   0.459507E+02
   377   0.196315E+04   0.210368E+02   0.381238E-01   0.440474E+02
   378   0.194894E+04   0.211027E+02   0.382373E-01   0.421338E+02
   379   0.193518E+04   0.211657E+02   0.383511E-01   0.402143E+02
   380   0.192195E+04   0.212258E+02   0.384652E-01   0.382867E+02
   381   0.190909E+04   0.212791E+02   0.385797E-01   0.363540E+02
   382   0.189662E+04   0.213309E+02   0.386946E-01   0.344170E+02
   383   0.188467E+04   0.213783E+02   0.388100E-01   0.324741E+02
   384   0.187324E+04   0.214212E+02   0.389257E-01   0.305290E+02
   385   0.186212E+04   0.214618E+02   0.390419E-01   0.285804E+02
   386   0.185153E+04   0.214980E+02   0.391586E-01   0.266304E+02
   387   0.184131E+04   0.215298E+02   0.392758E-01   0.246791E+02
   388   0.183154E+04   0.215578E+02   0.393935E-01   0.227279E+02
   389   0.182223E+04   0.215799E+02   0.395117E-01   0.207768E+02
   390   0.181337E+04   0.216012E+02   0.396304E-01   0.188281E+02
   391   0.180496E+04   0.216174E+02   0.397497E-01   0.168803E+02
   392   0.179692E+04   0.216313E+02   0.398696E-01   0.149364E+02
   393   0.178942E+04   0.216400E+02   0.399900E-01   0.129957E+02
   394   0.178229E+04   0.216450E+02   0.401111E-01   0.110603E+02
