#    L    TT             EE             TE          
   185   0.536272E+04   0.774339E+00  -0.315003E+02
   186   0.538279E+04   0.765114E+00  -0.305955E+02
   187   0.540268E+04   0.756269E+00  -0.296641E+02
   188   0.542203E+04   0.747788E+00  -0.287076E+02
   189   0.544076E+04   0.739710E+00  -0.277246E+02
   190   0.545933E+04   0.732087E+00  -0.267173E+02
   191   0.547698E+04   0.724940E+00  -0.256827E+02
   192   0.549424E+04   0.718294E+00  -0.246232E+02
   193   0.551089E+04   0.712193E+00  -0.235400E+02
   194   0.552714E+04   0.706666E+00  -0.224312E+02
   195   0.554279E+04   0.701753E+00  -0.212989E+02
   196   0.555782E+04   0.697489E+00  -0.201424E+02
   197   0.557239E+04   0.693920E+00  -0.189631E+02
   198   0.558642E+04   0.691069E+00  -0.177604E+02
   199   0.559992E+04   0.688972E+00  -0.165350E+02
   200   0.561288E+04   0.687661E+00  -0.152877E+02
   201   0.562524E+04   0.687194E+00  -0.140177E+02
   202   0.563706E+04   0.687579E+00  -0.127266E+02
   203   0.564828E+04   0.688877E+00  -0.114135E+02
   204   0.565881E+04   0.691110E+00  -0.100816E+02
   205   0.566880E+04   0.694323E+00  -0.872852E+01
   206   0.567812E+04   0.698554E+00  -0.735563E+01
   207   0.568690E+04   0.703824E+00  -0.596335E+01
   208   0.569492E+04   0.710187E+00  -0.455223E+01
   209   0.570234E+04   0.717665E+00  -0.312264E+01
   210   0.570915E+04   0.726311E+00  -0.167551E+01
   211   0.571535E+04   0.736153E+00  -0.210895E+00
   212   0.572080E+04   0.747224E+00   0.127025E+01
   213   0.572571E+04   0.759566E+00   0.276796E+01
   214   0.572994E+04   0.773174E+00   0.428100E+01
   215   0.573356E+04   0.788241E+00   0.580864E+01
   216   0.573650E+04   0.804580E+00   0.735137E+01
   217   0.573890E+04   0.822349E+00   0.890717E+01
   218   0.574063E+04   0.841548E+00   0.104763E+02
   219   0.574175E+04   0.862177E+00   0.120596E+02
   220   0.574226E+04   0.884384E+00   0.136527E+02
   221   0.574216E+04   0.908096E+00   0.152578E+02
   222   0.574145E+04   0.933461E+00   0.168733E+02
   223   0.573999E+04   0.960405E+00   0.185001E+02
   224   0.573807E+04   0.988930E+00   0.201343E+02
   225   0.573547E+04   0.101918E+01   0.217791E+02
   226   0.573227E+04   0.105116E+01   0.234305E+02
   227   0.572838E+04   0.108487E+01   0.250901E+02
   228   0.572395E+04   0.112031E+01   0.267564E+02
   229   0.571893E+04   0.115755E+01   0.284280E+02
   230   0.571322E+04   0.119660E+01   0.301054E+02
   231   0.570682E+04   0.123752E+01   0.317881E+02
   232   0.569990E+04   0.128024E+01   0.334744E+02
   233   0.569237E+04   0.132500E+01   0.351629E+02
   234   0.568408E+04   0.137163E+01   0.368543E+02
   235   0.567527E+04   0.142021E+01   0.385472E+02
   236   0.566577E+04   0.147075E+01   0.402414E+02
   237   0.565566E+04   0.152331E+01   0.419356E+02
   238   0.564495E+04   0.157797E+01   0.436297E+02
   239   0.563370E+04   0.163459E+01   0.453229E+02
   240   0.562171E+04   0.169324E+01   0.470131E+02
   241   0.560925E+04   0.175406E+01   0.487009E+02
   242   0.559619E+04   0.181690E+01   0.503856E+02
   243   0.558252E+04   0.188193E+01   0.520657E+02
   244   0.556824E+04   0.194905E+01   0.537420E+02
   245   0.555336E+04   0.201835E+01   0.554114E+02
   246   0.553795E+04   0.208983E+01   0.570754E+02
   247   0.552200E+04   0.216341E+01   0.587319E+02
   248   0.550545E+04   0.223946E+01   0.603807E+02
   249   0.548844E+04   0.231747E+01   0.620212E+02
   250   0.547083E+04   0.239788E+01   0.636518E+02
   251   0.545276E+04   0.248038E+01   0.652733E+02
   252   0.543401E+04   0.256522E+01   0.668842E+02
   253   0.541495E+04   0.265215E+01   0.684830E+02
   254   0.539528E+04   0.274148E+01   0.700696E+02
   255   0.537509E+04   0.283291E+01   0.716442E+02
   256   0.535444E+04   0.292681E+01   0.732065E+02
   257   0.533333E+04   0.302274E+01   0.747486E+02
   258   0.531170E+04   0.312106E+01   0.762830E+02
   259   0.528961E+04   0.322162E+01   0.777948E+02
   260   0.526714E+04   0.332443E+01   0.792989E+02
   261   0.524414E+04   0.342942E+01   0.807729E+02
   262   0.522061E+04   0.353679E+01   0.822393E+02
   263   0.519693E+04   0.364633E+01   0.836904E+02
   264   0.517264E+04   0.375811E+01   0.851190E+02
   265   0.514782E+04   0.387207E+01   0.865175E+02
   266   0.512270E+04   0.398841E+01   0.879082E+02
   267   0.509706E+04   0.410677E+01   0.892689E+02
   268   0.507103E+04   0.422752E+01   0.906143E+02
   269   0.504448E+04   0.435036E+01   0.919371E+02
   270   0.501770E+04   0.447536E+01   0.932372E+02
   271   0.499046E+04   0.460246E+01   0.945147E+02
   272   0.496300E+04   0.473194E+01   0.957620E+02
   273   0.493509E+04   0.486321E+01   0.969941E+02
   274   0.490687E+04   0.499687E+01   0.981887E+02
   275   0.487827E+04   0.513239E+01   0.993680E+02
   276   0.484945E+04   0.527000E+01   0.100510E+03
